ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default
11,simple,7979976666777,Luminária Led Quadrada De Embutir 24w 6500k Elgin Estrutura Branco 110V/220V,1,0,visible,,"<h1>Luminária Led Quadrada De Embutir 24w 6500k Elgin Estrutura Branco 110V/220V</h1>

A combinação perfeita de iluminação e design. Esta luminária dará vida aos seus espaços para que você possa aproveitá-los ao máximo. Além disso, você pode personalizar seus cantinhos favoritos e dar-lhes detalhes diferenciados.Ilumine seus espaçosEste modelo é adequado para lâmpadas com tecnologia LED, que além de contribuir para o cuidado do meio ambiente, duram mais e permitem economizar até 90% mais do que as luzes convencionais.Personalize com estiloGraças ao seu design especial, você pode instalar esta luminária em ambientes fechados e decorar todos os espaços da sua casa ou escritório de acordo com suas necessidades e gostos.",,,none,,1,,,no,yes,,,,,no,,24,24,,,,,,,,,,,,,,,
12,simple,8877768666678,Balizador Spot Led Chão Piso Jardim 1w Embutir Blindado Solo Cor Da Cúpula Prateado Cor Da Estrutura Preto - Branco Quente,1,0,visible,,"<h1>Balizador Spot Led Chão Piso Jardim 1w Embutir Blindado Solo Cor Da Cúpula Prateado Cor Da Estrutura Preto - Branco Quente</h1>

A JGLuz é uma empresa que realiza projetos de iluminação em ambientes residenciais, comerciais, industriais e paisagísticos, utilizando produtos de bom gosto e qualidade. Temos como missão proporcionar o melhor atendimento e garantir total satisfação na sua compra.Quer deixar sua casa, empresa, sala comercial e qualquer ambiente mais elegante? Apaixone-se pelos efeitos e energia que a luz pode trazer!INFORMAÇÕES TÉCNICAS:# O Balizador de Solo Led é ideal para evidenciar cores em ambiente externo e interno indicar caminhos, escadas, corredores, paredes, jardins, deck, borda de piscina, etc.# Traz beleza ao seu espaço deixando-o mais agradável, elegante e iluminado.# Alto Índice de proteção (IP67), pode ficar exposto ao tempo (chuva, sol, poeira etc).# Não necessita lâmpada, já vem com LED integrado.# A lâmpada LED não emite radiação IV/UV, quer dizer que ela não causa danos à sua pele, as suas plantas, ou mesmo a pinturas.# Outra vantagem é que a lâmpada LED não fica quente como as lâmpadas comum. Por esta razão, mesmo em ambientes externos, e expostos a água, ela não sofre choque térmico.BALIZADOR DE SOLO LED 1w* MARCA: Importado* TENSÃO: Bivolt* GRAU DE PROTEÇÃO: IP67 (Resistente água e Poeira)* LUMENS: 80lm* Vida Util: Até 30000 horas* COR DA LUZ: Branco Quente - 3000K (cor amarelada) ou Branco Frio - 6500K* MATERIAL: Alumínio e ABS* ÂNGULO DE ILUMINAÇÃO: 30º* POTÊNCIA: 1w* NÃO EMITE RADIAÇÃO ULTRAVIOLETA E INFRAVERMELHO* ACOMPANHA FONTE INTEGRADA* LED INTEGRADOEstamos sempre à disposição para sanar qualquer dúvida.Equipe JGLuz.",,,none,,1,,,no,yes,,,,,no,,30,30,,,,,,,,,,,,,,,
13,simple,7867987789798,Painel De Led Embutir Redonda Branca Flat Led 18w Biv Estrutura Branco 110V,1,0,visible,,"<h1>Painel De Led Embutir Redonda Branca Flat Led 18w Biv Estrutura Branco 110V</h1>

A combinação perfeita de iluminação e design. Esta luminária dará vida aos seus espaços para que você possa aproveitá-los ao máximo. Além disso, você pode personalizar seus cantinhos favoritos e dar-lhes detalhes diferenciados.Personalize com estiloGraças ao seu design especial, você pode instalar esta luminária em ambientes fechados e decorar todos os espaços da sua casa ou escritório de acordo com suas necessidades e gostos.",,,none,,1,,,no,yes,,,,,no,,17,17,,,,,,,,,,,,,,,
14,simple,6997966988866,Luminária Mesa Abajur Quarto Articulável Com Garra E Base Cor Da Cúpula Branco Cor Da Estrutura Branco 110 Acessórios Teodorov 220v,1,0,visible,,"<h1>Luminária Mesa Abajur Quarto Articulável Com Garra E Base Cor Da Cúpula Branco Cor Da Estrutura Branco 110 Acessórios Teodorov 220v</h1>

Luminária Mesa Abajur Quarto Articulável Com Garra E Base Cor Da Cúpula Branco Cor Da Estrutura Branco 110v/220vLuminária Mesa de 2 em 1Luminária Articulável é ideal para sua mesa de estudo, bancada, escritório, em qualquer lugar! Possui uma estrutura articulável, simples, bonita, decorativa e funcional, que permite diversos níveis de ajuste e formas de direcionar a luminosidade. Pode ser utilizada tanto com a base padrão, quanto com a garra de fixação, de acordo com a necessidade, proporcionando enorme versatilidade e valorizando o ambiente. Inclui os dois tipos de suporte: base + garra. O suporte em garra permite prender a luminária em superfícies variadas, como cabeceira da cama ou na lateral de um móvel.Conteúdo:*1 luminária.*1 Cabo de energia com 1,5 metro de comprimento a partir da base.*1 Interruptor liga / desliga no cabo de energia.*1 Suporte em base pesada.*1 Suporte em garra (não danifica os móveis).Observação: Lâmpada não inclusa.Especificações do Produto:*Voltagem: 110/220V – Bivolt.*Soquete: E27.*Peso aproximado: 1,4kg.*Cabo: 1,5m.",,,none,,1,,,no,yes,,,,,no,,69,69,,,,,,,,,,,,,,,
15,simple,7699868869998,Luminaria Noturna Infantil Led Bebê Silicone Capivara Abajur Cúpula Laranja-claro Estrutura Nude 127/220V,1,0,visible,,"<h1>Luminaria Noturna Infantil Led Bebê Silicone Capivara Abajur Cúpula Laranja-claro Estrutura Nude 127/220V</h1>

Lâmpada noturna de silicone Capivara Touch Control   Capacidade da bateria: 800 mAh  Potência nominal: 0,5 W  Tempo de uso: Alta intensidade: 9,5 horas, baixa intensidade: cerca de 34 horas  Tempo de carregamento: 2 horas  Dimensões do produto: 98* 165* 110 mm   Precauções:  1 . Pode haver uma pequena variação nas medidas porque elas são manuais.  2. A cor do produto pode variar um pouco da mostrada nas imagens devido à iluminação e às diferenças nos monitores.",,,none,,1,,,no,yes,,,,,no,,49,49,,,,,,,,,,,,,,,
16,simple,7698689797788,Painel Plafon Led Sobrepor Redonda 24w Branco Frio Elgin 110V/220V,1,0,visible,,Vendedor nÃ£o inseriu descriÃ§Ã£o.,,,none,,1,,,no,yes,,,,,no,,31,31,,,,,,,,,,,,,,,
17,simple,6766986778676,Refletor Luminária Solar De Parede Cob 120 A Prova Da Agua Com Sensor Presença,1,0,visible,,"<h1>Refletor Luminária Solar De Parede Cob 120 A Prova Da Agua Com Sensor Presença</h1>

Ilumine seus espaços externos com o Refletor Luminária Solar de Parede Cob 120 da marca EPSILON. Com um design quadrado e elegante na cor preta, este refletor é ideal para quem busca eficiência e estética. Equipado com tecnologia LED, proporciona uma luz branca intensa, perfeita para iluminar jardins, entradas ou áreas de lazer.A instalação é simples e prática, pois é um produto sem fio que funciona com energia solar. Com uma bateria de 3.7V, garante autonomia e sustentabilidade, permitindo que você aproveite a luz natural durante o dia e a utilize à noite. Além disso, possui um sensor de presença que acende automaticamente ao detectar movimento, aumentando a segurança do seu ambiente.Resistente à água, o Refletor Luminária Solar é ideal para qualquer clima, garantindo durabilidade e desempenho em diversas condições. Com dimensões de 15 cm de comprimento e 11 cm de altura, é compacto e discreto, adaptando-se facilmente a diferentes tipos de paredes. Transforme seu espaço externo em um ambiente mais seguro e acolhedor com a iluminação eficiente e prática do Refletor Luminária Solar de Parede Cob 120. É a escolha perfeita para quem valoriza qualidade, inovação e design.",,,none,,1,,,no,yes,,,,,no,,59,59,,,,,,,,,,,,,,,
18,simple,6878699986686,Pack 10 Spots Led 7w Embutir Quadrado Branco Quente 3000kEasy,1,0,visible,,"<h1>Pack 10 Spots Led 7w Embutir Quadrado Branco Quente 3000kEasy</h1>

Spot Easy:Ideal para iluminação interna de ambientes residenciais, comerciais ou corporativos.• Propriedades:- Construção livre de mercúrio.- Possui ajuste manual de direção da luz.- Spot com acabamento em policarbonato na cor branco.- Baixo consumo de energia.• Características de Funcionamento:- Tensão nominal: 100V a 240V (BIVOLT)- Fator de potência: >0,50.- Baixo consumo de energia.• Características:- Temperatura de Cor: 3000k | Branco Quente.- Não Dimerizável.- Ângulo de Abertura: 120°.- IRC**: >80.- Tipo de Instalação: Embutir- Tipo de Uso: Interno.• Especificações Técnicas:- Cód. de Barras: 7899452031525.- Formato: Quadrado- Potência: 7W.- Tensão: 100V - 240V Bivolt.- Fluxo Luminoso: 400 Im.- Eficiência Luminosa: 80 lm/W.- Peso: 35g.- Dimensões: L = 90mm | A = 90mm.• Sobre o Produto:Descubra o Spot Easy - Ideal para iluminação interna de ambientes residenciais, comerciais ou corporativos.• Sobre a Marca:Conheça a EASY - uma marca inovadora que une tecnologia de ponta à economia, sem abrir mão da qualidade. Nossos produtos são projetados para simplificar sua vida, oferecendo o máximo em eficiência e economia. Com valores justos, a EASY torna a experiência tecnologia acessível a todos. Experimente a excelência em cada detalhe - escolha EASY.",,,none,,1,,,no,yes,,,,,no,,120,120,,,,,,,,,,,,,,,
19,simple,6977977688886,Mini Luminária Solar Goldensky Poste Rua Parede Refletor 108 Cob Sensor luz branca fria Cor Preto,1,0,visible,,"<h1>Mini Luminária Solar Goldensky Poste Rua Parede Refletor 108 Cob Sensor luz branca fria Cor Preto</h1>

Luminária Solar Parede Sensor Presença Com 3 FunçõesEsta é uma luminária solar com detector de movimento e acendimento automático, que funciona com energia solar e é à prova d’água. Ela é ideal para iluminar áreas externas, como caminhos, jardins, corredores, etc. Ela tem três modos de funcionamento, que podem ser selecionados pelo botão. Veja a seguir as características e o conteúdo do pacote deste produto.CaracterísticasMaterial: ABS+PCFonte de energia: SolarBateria: 3.7V = 18650 *1200 mahPainel solar: 3.2V 4WNúmero de pérolas da lâmpada: 108 cobsDistância de detecção: 3-5 mAutonomia de iluminação: 4h em luz constante e 12h utilizando sensor de movimento em locais pouco movimentadosTempo de vida do led: 50000 (h)Cor dos leds: BrancoTipo de instalação: Fixado na paredeInterruptor: BotãoSensor de movimento ângulo: 120ºInterruptor on/offModos de funcionamentoFUNÇÃO 1: Permanece desligada quando não detecta movimento, acende sua luz máxima sempre que detectar movimento.(PRESSIONE BOTÃO DE LIGAR 1 VEZ)FUNÇÃO 2: Ligada em luz fraca e acende luz máxima ao detectar movimento. (PRESSIONE BOTÃO DE LIGAR DUAS VEZES)FUNÇÃO 3: Ligada de forma constante em luz média mesmo sem detectar movimento. (PRESSIONE BOTÃO DE LIGAR TRES VEZES) Conteúdo do pacote1xLuminária solar com painel solar3xParafusos3xBuchas1xManual",,,none,,1,,,no,yes,,,,,no,,28,28,,,,,,,,,,,,,,,
20,simple,8677968988796,Spot Sobrepor Slim Teto Beiral 5w Preto Externo Interno Led Quente,1,0,visible,,"<h1>Spot Sobrepor Slim Teto Beiral 5w Preto Externo Interno Led Quente</h1>

Introdução ao ProdutoO spot de teto e beiral slim em alumínio com LED integrado de 5W é a solução ideal para quem busca uma iluminação eficiente, moderna e de alta qualidade para seus ambientes. Este produto é projetado com atenção aos detalhes e fabricado com materiais de alta durabilidade, proporcionando uma experiência de iluminação superior e versátil.Design e ConstruçãoCom um design slim e elegante, este spot se integra perfeitamente a diversos estilos de decoração, desde os mais clássicos aos mais contemporâneos. Fabricado em alumínio de alta qualidade, ele oferece resistência e longevidade, mesmo em ambientes expostos a variações de temperatura e umidade.As dimensões compactas do spot, medindo 10 cm de largura, 10 cm de comprimento e apenas 4 cm de altura, permitem uma instalação discreta e harmoniosa em qualquer ambiente. O design quadrado e minimalista complementa tanto tetos quanto beirais, proporcionando uma iluminação focada e eficiente sem ocupar muito espaço.Iluminação e Eficiência EnergéticaO spot possui um LED integrado de 5W, que é potente o suficiente para iluminar eficientemente qualquer área, ao mesmo tempo que consome pouca energia. Esta eficiência energética se traduz em economia na conta de luz e uma menor pegada ambiental, sem comprometer a qualidade da iluminação.O LED integrado emite uma luz clara e consistente, garantindo uma iluminação uniforme e confortável para os olhos. A tecnologia de LED oferece uma vida útil longa, reduzindo a necessidade de substituições frequentes e manutenção, o que é ideal tanto para residências quanto para espaços comerciais.Manutenção e Troca de LEDUm dos grandes diferenciais deste spot é a possibilidade de trocar apenas o LED, sem a necessidade de substituir todo o spot. Esta característica facilita a manutenção e oferece uma solução prática e econômica para a substituição do componente luminoso. Com isso, você pode manter a estrutura do spot instalada, economizando tempo e recursos.Aplicações VersáteisEste spot é ideal para uma variedade de aplicações, incluindo:Teto: Proporciona uma iluminação direta e focalizada, ideal para salas de estar, corredores, cozinhas, escritórios e outros ambientes internos.Beiral: Oferece uma iluminação externa eficiente, destacando a arquitetura e aumentando a segurança ao redor de casas, prédios e outras construções.Ambientes Comerciais: Perfeito para lojas, escritórios, galerias de arte e outros estabelecimentos que necessitam de uma iluminação de alta qualidade e design moderno.",,,none,,1,,,no,yes,,,,,no,,41,41,,,,,,,,,,,,,,,
21,simple,9666778769897,Projetor Astronauta Luz Noturna Galáxia Estrelas Eps-016 Com Controle 110v/220v ,1,0,visible,,"<h1>Projetor Astronauta Luz Noturna Galáxia Estrelas Eps-016 Com Controle 110v/220v </h1>

O Projetor Galáxia é um produto único e inovador, com um formato de astronauta. Ele combina a função de projetor com efeitos de iluminação que incluem estrelas. Esse projetor incrível é capaz de criar um ambiente mágico e estrelado, proporcionando uma experiência única e relaxante.Com o Projetor Galáxia, você pode transformar qualquer espaço em um cenário espacial encantador, repleto de estrelas brilhantes e fascinantes.",,,none,,1,,,no,yes,,,,,no,,74,74,,,,,,,,,,,,,,,
22,simple,7687967667696,Kit 5 Luminária Linear Tubular 120cm Sobrepor 40w Led 6500k Cor Branco,1,0,visible,,"<h1>Kit 5 Luminária Linear Tubular 120cm Sobrepor 40w Led 6500k Cor Branco</h1>

Fácil de instalar. LED tem vida útil longa, resultará em economia, com alta qualidade. Excelentes para cenários de paisagem, iluminação local, arquitetural, artística e até no uso normal diário em casa ou no trabalho- FLUXO LUMINOSO: 3240 lm- ÂNGULO DE ABERTURA (50%): 180°- VIDA ÚTIL (L70): 25.000 H- POTÊNCIA: 36 W- TENSÃO: AC100-240V- FREQUÊNCIA: 50/60 Hz- CORRENTE ELÉTRICA: 468 mA (127 V) / 280 mA (220 V)- FATOR DE POTÊNCIA: = 0.5- TEMP. DE OPERAÇÃO: -20°C a 40°C- DIMENSÕES DA LÂMPADA: 2cm (A) X 5cm (L) X 120cm (C)- ÍNDICE DE PROTEÇÃO: IP 20- TEMPERATURA DE COR: BRANCO FRIO 6000K- PROTEÇÃO - IP20: Uso interiorNão utilize em áreas expostas à umidade ou em luminárias totalmente vedadas.*Todos os nossos itens são conferidos e testados antes do envio.**Trabalhamos apenas com materiais que conhecemos e confiamos para proporcionar o melhor custo benefício para você.",,,none,,1,,,no,yes,,,,,no,,75,75,,,,,,,,,,,,,,,
23,simple,9879989999967,Luminaria de Mesa articulável Techled Cor Preto,1,0,visible,,"<h1>Luminaria de Mesa articulável Techled Cor Preto</h1>

• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •É uma luminária de mesa que atende com maestria todo tipo de uso, desde pessoal até profissional.  Possui articulações firmes de metal que permitem chegar na posição ideal para o momento.  Seu design clean e elegante faz com que ela se destaque em qualquer ambiente, desde residências até locais de trabalho.  Para completar sua versatilidade, acompanha uma base e uma garra para ser disposta em qualquer espaço.× CORPO FLEXÍVEL E ESTÁVEL:  Suas articulações reforçadas de metal fazem com que ela não só chegue na posição ideal, mas que também fique fixa para sua utilização.  * Para algumas posições é recomendado o uso da garra.× CÚPULA ROTATÓRIA:  A cúpula gira facilmente para cima, para baixo e para os lados, dando o controle preciso de onde quer que a luz aponte.× BASE PESADA E COMPACTA:  Base ponderada que sustenta o produto.  Projetada para proporcionar uma bancada ou mesa mais organizada e limpa, ocupando um pequeno espaço.× GARRA MULTIFUNCIONAL:  Sustentação para qualquer posição que a luminária possa chegar.  A garra é do tipo parafuso, que não deixa marcas de mordida na mesa.  Possui 3 opções de encaixe para se adequar ao seu uso.× MATERIAL METÁLICO QUALIFICADO:  Material metálico qualificado em toda luminária, trazendo uma longa durabilidade para o produto.× INTERRUPTOR ON / OFF:  Muito fácil de controlar, basta pressionar o botão liga/desliga no cabo de alimentação.• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •Especificações Técnicas:  Frequência: 50/60Hz  Voltagem: 110/220V – Bivolt  Soquete: E27  Suporte: Base e Garra  Peso aproximado: 1,4kg  Cabo: 1,70m  Componentes: Base e Garra Multifuncional  • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •",,,none,,1,,,no,yes,,,,,no,,78,78,,,,,,,,,,,,,,,
